iter	Passed	Remaining
0	142	142289
1	143	71586
2	144	47923
3	144	36089
4	145	28999
5	146	24263
6	147	20876
7	147	18342
8	148	16368
9	149	14780
10	150	13486
11	150	12411
12	151	11498
13	152	10717
14	152	10032
15	153	9437
16	154	8911
17	154	8446
18	155	8043
19	156	7674
20	157	7335
21	158	7029
22	158	6744
23	159	6484
24	160	6244
25	160	6022
26	161	5815
27	162	5627
28	162	5456
29	163	5292
30	164	5136
31	164	4990
32	165	4853
33	166	4724
34	166	4602
35	167	4488
36	168	4380
37	169	4280
38	169	4184
39	170	4093
40	171	4005
41	172	3924
42	172	3844
43	173	3767
44	173	3691
45	174	3622
46	175	3555
47	176	3491
48	176	3429
49	177	3372
50	178	3314
51	178	3257
52	179	3203
53	179	3151
54	180	3100
55	181	3054
56	181	3009
57	182	2964
58	183	2922
59	183	2880
60	184	2840
61	185	2801
62	185	2763
63	186	2725
64	187	2690
65	187	2657
66	188	2624
67	188	2587
68	189	2555
69	189	2524
70	190	2493
71	191	2464
72	191	2436
73	192	2408
74	193	2381
75	193	2356
76	194	2331
77	195	2306
78	195	2282
79	196	2257
80	197	2235
81	197	2211
82	198	2190
83	198	2169
84	199	2146
85	200	2127
86	200	2105
87	201	2085
88	201	2066
89	202	2047
90	203	2028
91	203	2009
92	204	1991
93	204	1974
94	205	1957
95	206	1942
96	206	1926
97	207	1910
98	208	1894
99	208	1878
100	209	1863
101	209	1845
102	210	1830
103	210	1816
104	211	1802
105	212	1789
106	212	1777
107	213	1763
108	214	1750
109	214	1737
110	215	1724
111	215	1711
112	216	1699
113	217	1687
114	217	1675
115	218	1663
116	218	1652
117	219	1641
118	220	1630
119	220	1619
120	221	1609
121	222	1598
122	222	1586
123	223	1575
124	223	1565
125	224	1555
126	224	1546
127	225	1536
128	226	1527
129	226	1518
130	227	1509
131	228	1500
132	228	1490
133	229	1481
134	229	1472
135	230	1464
136	231	1456
137	231	1448
138	232	1440
139	233	1431
140	233	1423
141	234	1415
142	234	1408
143	235	1400
144	236	1392
145	236	1385
146	237	1378
147	238	1371
148	238	1364
149	239	1357
150	240	1350
151	240	1343
152	241	1337
153	242	1330
154	242	1324
155	243	1317
156	244	1312
157	245	1305
158	245	1299
159	246	1292
160	246	1286
161	247	1280
162	248	1274
163	248	1268
164	249	1263
165	250	1258
166	251	1252
167	251	1246
168	252	1241
169	253	1235
170	253	1230
171	254	1224
172	255	1219
173	255	1214
174	256	1209
175	257	1204
176	258	1199
177	258	1194
178	259	1189
179	259	1184
180	260	1177
181	260	1172
182	261	1167
183	262	1163
184	263	1159
185	263	1154
186	264	1149
187	265	1144
188	265	1139
189	266	1135
190	266	1130
191	267	1125
192	268	1121
193	269	1117
194	269	1113
195	270	1109
196	271	1105
197	271	1101
198	272	1096
199	273	1092
200	273	1087
201	274	1083
202	275	1080
203	275	1075
204	276	1072
205	277	1068
206	277	1064
207	278	1060
208	279	1057
209	279	1053
210	280	1049
211	281	1046
212	282	1042
